city,state,city_state,users_org,users_paid,leads_org,leads_paid,cvr_org,cvr_paid,unique_sites
Dallas,Texas,"Dallas, TX",24446,15298,1692,1213,0.06921377731,0.07929141064,672
Chicago,Illinois,"Chicago, IL",22386,19371,1317,1181,0.05883141249,0.06096742553,709
Atlanta,Georgia,"Atlanta, GA",16801,16722,1167,819,0.06946015118,0.04897739505,573
Ashburn,Virginia,"Ashburn, VA",16765,15303,885,561,0.05278854757,0.03665947853,522
New York,New York,"New York, NY",26728,13069,884,689,0.03307392996,0.05272017752,926
Miami,Florida,"Miami, FL",8868,7801,665,510,0.0749887235,0.06537623382,382
Houston,Texas,"Houston, TX",12416,5848,582,443,0.046875,0.07575239398,331
Austin,Texas,"Austin, TX",4791,2643,578,183,0.1206428721,0.06923950057,210
Los Angeles,California,"Los Angeles, CA",9720,12468,553,549,0.05689300412,0.04403272377,495
Charlotte,North Carolina,"Charlotte, NC",5430,5715,497,320,0.09152854512,0.05599300087,280
Orlando,Florida,"Orlando, FL",5188,4420,414,361,0.07979953739,0.08167420814,300
Phoenix,Arizona,"Phoenix, AZ",5232,8671,354,493,0.06766055046,0.05685618729,237
Seattle,Washington,"Seattle, WA",7137,4402,319,210,0.04469665125,0.04770558837,231
Denver,Colorado,"Denver, CO",4943,4639,317,380,0.06413109448,0.08191420565,233
San Jose,California,"San Jose, CA",5361,4952,313,186,0.05838462973,0.03756058158,239
Philadelphia,Pennsylvania,"Philadelphia, PA",5296,6734,294,339,0.05551359517,0.05034155034,283
Raleigh,North Carolina,"Raleigh, NC",3199,2627,255,145,0.07971241013,0.05519604111,200
Jacksonville,Florida,"Jacksonville, FL",2756,3585,249,157,0.09034833091,0.04379358438,125
San Antonio,Texas,"San Antonio, TX",2646,2436,227,167,0.0857898715,0.06855500821,152
Nashville,Tennessee,"Nashville, TN",3410,2682,221,200,0.06480938416,0.07457121551,198
Boston,Massachusetts,"Boston, MA",5883,4852,205,207,0.03484616692,0.04266281946,179
Indianapolis,Indiana,"Indianapolis, IN",3066,5638,203,138,0.06621004566,0.02447676481,142
